Player,Spotrac_ID,Team,Salary
Joseph Young,http://www.spotrac.com/redirect/player/17871/,IND,1052342
Glen Robinson III,http://www.spotrac.com/redirect/player/15392/,IND,1050500
Georges Niang,http://www.spotrac.com/redirect/player/20256/,IND,650000
Nicolas Batum,http://www.spotrac.com/redirect/player/6149/,CHA,20869565
Michael Kidd-Gilchrist,http://www.spotrac.com/redirect/player/10810/,CHA,13000000
Miles Plumlee,http://www.spotrac.com/redirect/player/10851/,CHA,12500000
Marvin Williams,http://www.spotrac.com/redirect/player/2208/,CHA,12250000
Kemba Walker,http://www.spotrac.com/redirect/player/8059/,CHA,12000000
Jeremy Lamb,http://www.spotrac.com/redirect/player/10820/,CHA,6511628
Marco Belinelli,http://www.spotrac.com/redirect/player/2314/,CHA,6333333
Ramon Sessions,http://www.spotrac.com/redirect/player/2566/,CHA,6000000
Cody Zeller,http://www.spotrac.com/redirect/player/13317/,CHA,5318313
Frank Kaminsky,http://www.spotrac.com/redirect/player/17837/,CHA,2730000
Brian Roberts,http://www.spotrac.com/redirect/player/11160/,CHA,980431
Christian Wood,http://www.spotrac.com/redirect/player/18218/,CHA,874636
Treveon Graham,http://www.spotrac.com/redirect/player/18124/,CHA,543471
Johnny O'Bryant,http://www.spotrac.com/redirect/player/15388/,CHA,161483
Briante Weber,http://www.spotrac.com/redirect/player/18287/,CHA,128623
Bradley Beal,http://www.spotrac.com/redirect/player/10811/,WAS,22116750
John Wall,http://www.spotrac.com/redirect/player/6882/,WAS,16957900
Ian Mahinmi,http://www.spotrac.com/redirect/player/2708/,WAS,15944154
Marcin Gortat,http://www.spotrac.com/redirect/player/2639/,WAS,12000000
Markieff Morris,http://www.spotrac.com/redirect/player/8064/,WAS,7400000
Otto Porter Jr.,http://www.spotrac.com/redirect/player/13316/,WAS,5893981
Jason Smith,http://www.spotrac.com/redirect/player/2656/,WAS,5000000
Bojan Bogdanovic,http://www.spotrac.com/redirect/player/8083/,WAS,3730653
Trey Burke,http://www.spotrac.com/redirect/player/13322/,WAS,3386598
Tomas Satoransky,http://www.spotrac.com/redirect/player/10857/,WAS,2870813
Kelly Oubre,http://www.spotrac.com/redirect/player/17843/,WAS,2006640
Brandon Jennings,http://www.spotrac.com/redirect/player/6299/,WAS,1200000
Chris McCullough,http://www.spotrac.com/redirect/player/17857/,WAS,1191480
Sheldon McLellan,http://www.spotrac.com/redirect/player/20279/,WAS,543471
Daniel Ochefu,http://www.spotrac.com/redirect/player/20746/,WAS,543471
Rudy Gay,http://www.spotrac.com/redirect/player/2534/,SAC,13333333
Arron Afflalo,http://www.spotrac.com/redirect/player/2297/,SAC,12500000
Tyreke Evans,http://www.spotrac.com/redirect/player/6326/,SAC,10661286
Kosta Koufos,http://www.spotrac.com/redirect/player/6254/,SAC,8046500
Garrett Temple,http://www.spotrac.com/redirect/player/6492/,SAC,8000000
Anthony Tolliver,http://www.spotrac.com/redirect/player/6483/,SAC,8000000
Darren Collison,http://www.spotrac.com/redirect/player/6307/,SAC,5229454
Langston Galloway,http://www.spotrac.com/redirect/player/15824/,SAC,5200000
Ben McLemore,http://www.spotrac.com/redirect/player/13320/,SAC,4008882
Willie Cauley-Stein,http://www.spotrac.com/redirect/player/17834/,SAC,3551160
Buddy Hield,http://www.spotrac.com/redirect/player/20211/,SAC,3517200
Georgios Papagiannis,http://www.spotrac.com/redirect/player/20218/,SAC,2202240
Malachi Richardson,http://www.spotrac.com/redirect/player/20227/,SAC,1439880
Skal Labissiere,http://www.spotrac.com/redirect/player/20233/,SAC,1188840
Ty Lawson,http://www.spotrac.com/redirect/player/6283/,SAC,980431
LeBron James,http://www.spotrac.com/redirect/player/2257/,CLE,30963450
Kevin Love,http://www.spotrac.com/redirect/player/6132/,CLE,21165675
