Player,Spotrac_ID,Team,Salary,Signed_Using,Trade_Kicker,Can_Block
Omari Johnson,http://www.spotrac.com/redirect/player/18244/,MEM,1378242,Minimum,,
Ivan Rabb,http://www.spotrac.com/redirect/player/23630/,MEM,1378242,MLE,,
Brandon Knight,http://www.spotrac.com/redirect/player/8058/,PHX,14631250,Bird,,
Tyson Chandler,http://www.spotrac.com/redirect/player/2605/,PHX,13585000,Cap Space,,
T.J. Warren,http://www.spotrac.com/redirect/player/15366/,PHX,11750000,Bird,,
Jared Dudley,http://www.spotrac.com/redirect/player/2228/,PHX,9530000,Cap Space,,
Josh Jackson,http://www.spotrac.com/redirect/player/23599/,PHX,6041520,Rookie,,
Alan Williams,http://www.spotrac.com/redirect/player/18820/,PHX,5520000,Cap Space,,
Dragan Bender,http://www.spotrac.com/redirect/player/20209/,PHX,4661280,Rookie,,
Devin Booker,http://www.spotrac.com/redirect/player/17841/,PHX,3314365,Rookie,,
Troy Daniels,http://www.spotrac.com/redirect/player/13383/,PHX,3258549,Cap Space,,
Marquese Chriss,http://www.spotrac.com/redirect/player/20213/,PHX,3206160,Rookie,,
Tyler Ulis,http://www.spotrac.com/redirect/player/20240/,PHX,1544951,Cap Space,,
Shaquille Harrison,http://www.spotrac.com/redirect/player/21066/,PHX,1378242,Minimum,,
Davon Reed,http://www.spotrac.com/redirect/player/23627/,PHX,1378242,Cap Space,,
Stephen Curry,http://www.spotrac.com/redirect/player/6287/,GSW,37457154,Bird,True,
Klay Thompson,http://www.spotrac.com/redirect/player/8062/,GSW,18988725,Bird,,
Draymond Green,http://www.spotrac.com/redirect/player/10860/,GSW,17469565,Bird,,
Andre Iguodala,http://www.spotrac.com/redirect/player/2652/,GSW,16000000,Bird,,
Shaun Livingston,http://www.spotrac.com/redirect/player/2477/,GSW,8307692,Bird,,
Quinn Cook,http://www.spotrac.com/redirect/player/18264/,GSW,1544951,Minimum,,
Damian Jones,http://www.spotrac.com/redirect/player/20235/,GSW,1544951,Rookie,,
Jordan Bell,http://www.spotrac.com/redirect/player/23633/,GSW,1378242,Minimum,,
Blake Griffin,http://www.spotrac.com/redirect/player/6501/,DET,32088932,Bird,True,
Andre Drummond,http://www.spotrac.com/redirect/player/10817/,DET,25434263,Bird,True,
Reggie Jackson,http://www.spotrac.com/redirect/player/8075/,DET,17043478,Bird,,
Jon Leuer,http://www.spotrac.com/redirect/player/8092/,DET,10002681,Cap Space,,
Langston Galloway,http://www.spotrac.com/redirect/player/15824/,DET,7000000,MLE,,
Ishmael Smith,http://www.spotrac.com/redirect/player/7116/,DET,6000000,Cap Space,,
Stanley Johnson,http://www.spotrac.com/redirect/player/17836/,DET,3940402,Rookie,,
Luke Kennard,http://www.spotrac.com/redirect/player/23607/,DET,3275280,Rookie,,
Reggie Bullock,http://www.spotrac.com/redirect/player/13338/,DET,2500000,Bird,,
Henry Ellenson,http://www.spotrac.com/redirect/player/20223/,DET,1857480,Rookie,,
Eric Moreland,http://www.spotrac.com/redirect/player/15622/,DET,1826300,MLE,,
Dwight Buycks,http://www.spotrac.com/redirect/player/13409/,DET,1600520,Minimum,,
Zach Randolph,http://www.spotrac.com/redirect/player/2626/,SAC,11692308,Cap Space,,
Iman Shumpert,http://www.spotrac.com/redirect/player/8068/,SAC,11011236,Bird,,
Bogdan Bogdanovic,http://www.spotrac.com/redirect/player/15379/,SAC,9000000,Cap Space,,
Kosta Koufos,http://www.spotrac.com/redirect/player/6254/,SAC,8739500,Cap Space,,
