Player,Spotrac_ID,Team,Salary,Signed_Using,Trade_Kicker,Can_Block,How_Acquired,Date_Acquired,Traded_From
D.J. Augustin,http://www.spotrac.com/redirect/player/6088/,ORL,7250000,Cap Space,,,,,
Jonathon Simmons,http://www.spotrac.com/redirect/player/17983/,ORL,6300000,Cap Space,,,signed,2017-07-14,
Shelvin Mack,http://www.spotrac.com/redirect/player/8086/,ORL,6000000,Cap Space,,,signed,2017-07-09,
Aaron Gordon,http://www.spotrac.com/redirect/player/15356/,ORL,5504420,Rookie,,,,,
Jonathan Isaac,http://www.spotrac.com/redirect/player/23601/,ORL,4186320,Rookie,,,signed,2017-07-01,
Mario Hezonja,http://www.spotrac.com/redirect/player/17833/,ORL,4078320,Rookie,,,,,
Arron Afflalo,http://www.spotrac.com/redirect/player/2297/,ORL,1471382,Minimum,,,signed,2017-07-27,
Marreese Speights,http://www.spotrac.com/redirect/player/6145/,ORL,1471382,Minimum,,,signed,2017-07-27,
Wesley Iwundu,http://www.spotrac.com/redirect/player/23628/,ORL,1050000,Cap Space,,,signed,2017-07-25,
Khem Birch,http://www.spotrac.com/redirect/player/15786/,ORL,815615,Minimum,,,signed,2017-07-27,
Brook Lopez,http://www.spotrac.com/redirect/player/6136/,LAL,22642350,Bird,,,traded,2017-06-20,BKN
Kentavious Caldwell-Pope,http://www.spotrac.com/redirect/player/13321/,LAL,17745894,Cap Space,True,,signed,2017-07-13,
Luol Deng,http://www.spotrac.com/redirect/player/2240/,LAL,17190000,Cap Space,,,,,
Corey Brewer,http://www.spotrac.com/redirect/player/2573/,LAL,7579366,Cap Space,,,traded,2017-02-23,HOU
Channing Frye,http://www.spotrac.com/redirect/player/2674/,LAL,7420912,Cap Space,,,,,
Lonzo Ball,http://www.spotrac.com/redirect/player/23597/,LAL,6286560,Rookie,,,signed,2017-07-03,
