Player,Pos,Spotrac_ID,Team,Trans_Date,Trans
Jusuf Nurkic, C,http://www.spotrac.com/redirect/player/15368/,DEN,Feb 13 2017,Traded to Portland (POR) from Denver (DEN)  with 2017 1st round pick for  Mason Plumlee
Johnny O'Bryant, PF,http://www.spotrac.com/redirect/player/15388/,DEN,Feb 6 2017,Signed a 10-day contract with Denver (DEN)				
Johnny O'Bryant, PF,http://www.spotrac.com/redirect/player/15388/,DEN,Jan 26 2017,Signed a 10-day contract with Denver (DEN)				
Mo Williams, PG,http://www.spotrac.com/redirect/player/2571/,DEN,Jan 24 2017,Waived by Denver (DEN)				
Mo Williams, PG,http://www.spotrac.com/redirect/player/2571/,DEN,Jan 23 2017,Claimed off waivers by Denver (DEN)				
Mo Williams, PG,http://www.spotrac.com/redirect/player/2571/,DEN,Jan 18 2017,Waived by Denver (DEN)				
Mo Williams, PG,http://www.spotrac.com/redirect/player/2571/,DEN,Jan 18 2017,Traded to Denver (DEN) from Atlanta (ATL)  for rights to Cenk Akyol				
Alonzo Gee, SF,http://www.spotrac.com/redirect/player/6486/,DEN,Jan 8 2017,Signed a 10-day contract with Denver (DEN)				
Alonzo Gee, SF,http://www.spotrac.com/redirect/player/6486/,DEN,Jan 6 2017,Waived by Denver (DEN)				
Emmanuel Mudiay, PG,http://www.spotrac.com/redirect/player/17835/,DEN,Feb 8 2018,Traded to New York (NYK) from Denver (DEN) as part of a 3-team trade: New York (NYK) traded  Devin HarrisDoug McDermott
Gerald Green, SG,http://www.spotrac.com/redirect/player/6100/,HOU,Dec 28 2017,Signed a 1 year $1.38 million contract with Houston (HOU)				
Isaiah Canaan, PG,http://www.spotrac.com/redirect/player/13347/,HOU,Oct 28 2017,Waived by Houston (HOU)				
Isaiah Canaan, PG,http://www.spotrac.com/redirect/player/13347/,HOU,Oct 24 2017,Signed a 1 year $1.51 million contract with Houston (HOU)				
Danuel House, SF,http://www.spotrac.com/redirect/player/20800/,HOU,Oct 15 2017,Waived by Houston (HOU)				
Cameron Oliver, F,http://www.spotrac.com/redirect/player/23665/,HOU,Oct 15 2017,Waived by Houston (HOU)				
George De Paula, PG,http://www.spotrac.com/redirect/player/23676/,HOU,Oct 13 2017,Waived by Houston (HOU)				
Christapher Johnson, SF,http://www.spotrac.com/redirect/player/11587/,HOU,Oct 13 2017,Waived by Houston (HOU)				
Danuel House, SF,http://www.spotrac.com/redirect/player/20800/,HOU,Oct 13 2017,Signed a contract with Houston (HOU)				
Isaiah Taylor, PG,http://www.spotrac.com/redirect/player/20273/,HOU,Oct 13 2017,Waived by Houston (HOU)				
Tim Quarterman, PG,http://www.spotrac.com/redirect/player/20910/,HOU,Oct 13 2017,Waived by Houston (HOU)				
George De Paula, PG,http://www.spotrac.com/redirect/player/23676/,HOU,Sep 27 2017,Signed a contract with Houston (HOU)				
Shawn Long, PF,http://www.spotrac.com/redirect/player/20287/,HOU,Sep 26 2017,Waived by Houston (HOU)				
Bobby Brown, PG,http://www.spotrac.com/redirect/player/6131/,HOU,Sep 25 2017,Signed a contract with Houston (HOU)				
Jarrod Uthoff, PF,http://www.spotrac.com/redirect/player/20896/,HOU,Sep 24 2017,Signed a contract with Indiana (IND)				
Christapher Johnson, SF,http://www.spotrac.com/redirect/player/11587/,HOU,Sep 21 2017,Agreed to a contract with Houston (HOU)				
Jarrod Uthoff, PF,http://www.spotrac.com/redirect/player/20896/,HOU,Jul 30 2017,Waived by Houston (HOU)				
Troy Williams, SF,http://www.spotrac.com/redirect/player/20919/,HOU,Jul 25 2017,Signed a 3 year $4.69 million contract with Houston (HOU)				
Luc Richard Mbah a Moute, PF,http://www.spotrac.com/redirect/player/6130/,HOU,Jul 19 2017,Signed a 1 year $2.1 million contract with Houston (HOU)				
Tarik Black, PF,http://www.spotrac.com/redirect/player/15767/,HOU,Jul 17 2017,Signed a 1 year $3.29 million a contract with Houston (HOU)				
Cameron Oliver, F,http://www.spotrac.com/redirect/player/23665/,HOU,Jul 8 2017,Signed a 2 year $2.19 million contract with Houston (HOU)				
James Harden, SG,http://www.spotrac.com/redirect/player/6312/,HOU,Jul 8 2017,Signed a 4 year $169 million contract extension (Designated Veteran Player Extension) with Houston (HOU)				
Ryan Kelly, PF,http://www.spotrac.com/redirect/player/13361/,HOU,Jul 7 2017,Waived by Houston (HOU)				
Nene Hilario, C,http://www.spotrac.com/redirect/player/6103/,HOU,Jul 6 2017,Signed a 3 year $10.9 million contract with Houston (HOU)				
P.J. Tucker, SF,http://www.spotrac.com/redirect/player/11059/,HOU,Jul 6 2017,Signed a 4 year $31.9 million contract with Houston (HOU)				
Zhou Qi, PF,http://www.spotrac.com/redirect/player/20249/,HOU,Jul 1 2017,Agreed a 4 year $5.57 million contract with Houston (HOU)				
Jarrod Uthoff, PF,http://www.spotrac.com/redirect/player/20896/,HOU,Jun 29 2017,Traded to Houston (HOU) from Dallas (DAL)  for cash				
DeAndre Liggins, SG,http://www.spotrac.com/redirect/player/8105/,HOU,Jun 28 2017,Traded to Los Angeles (LAC) from Houston (HOU)  with  Patrick BeverleyLouis WilliamsSam DekkerDarrun Hilliard IIKyle WiltjerChris Paul
DeAndre Liggins, SG,http://www.spotrac.com/redirect/player/8105/,HOU,Jun 28 2017,Traded to Houston (HOU) from Dallas (DAL)  for cash				
Darrun Hilliard II, SF,http://www.spotrac.com/redirect/player/17866/,HOU,Jun 28 2017,Traded to Houston (HOU) from Detroit (DET)  for cash				
Isaiah Hartenstein, PF,http://www.spotrac.com/redirect/player/23644/,HOU,Jun 22 2017,Drafted by Houston (HOU): Round 2 (#43overall)				
Dillon Brooks, SF,http://www.spotrac.com/redirect/player/23646/,HOU,Jun 22 2017,Traded to Memphis (MEM) from Houston (HOU)  for 2018 2nd round pick				
Dillon Brooks, SF,http://www.spotrac.com/redirect/player/23646/,HOU,Jun 22 2017,Drafted by Houston (HOU): Round 2 (#45overall)				
Nene Hilario, C,http://www.spotrac.com/redirect/player/6103/,HOU,May 1 2017,Fined $2000 for ejection from HOU-SAS game (playoff)				
Patrick Beverley, PG,http://www.spotrac.com/redirect/player/6297/,HOU,Apr 23 2017,Fined $25000 for confronting a fan during HOU-OKC game				
Troy Williams, SF,http://www.spotrac.com/redirect/player/20919/,HOU,Mar 20 2017,Signed a 1 year $77k contract with Houston (HOU)				
Troy Williams, SF,http://www.spotrac.com/redirect/player/20919/,HOU,Mar 10 2017,Signed a 10-day contract with Houston (HOU)				
Isaiah Taylor, PG,http://www.spotrac.com/redirect/player/20273/,HOU,Feb 27 2017,Signed a 3 year $3 million contract with Houston (HOU)				
Marcelo Huertas, PG,http://www.spotrac.com/redirect/player/18207/,HOU,Feb 25 2017,Waived by Houston (HOU)				
Marcelo Huertas, PG,http://www.spotrac.com/redirect/player/18207/,HOU,Feb 23 2017,Traded to Houston (HOU) from Los Angeles (LAL)  for  Tyler Ennis
K.J. McDaniels, SG,http://www.spotrac.com/redirect/player/15384/,HOU,Feb 23 2017,Traded to Brooklyn (BKN) from Houston (HOU)  for TBD				
Corey Brewer, SG,http://www.spotrac.com/redirect/player/2573/,HOU,Feb 23 2017,Traded to Los Angeles (LAL) from Houston (HOU)  with 2017 1st round pick for  Louis Williams
Aaron Jackson, G,http://www.spotrac.com/redirect/player/25087/,HOU,Apr 11 2018,Signed a contract with Houston (HOU)				
Tim Quarterman, PG,http://www.spotrac.com/redirect/player/20910/,HOU,Apr 11 2018,Waived by Houston (HOU)				
Tim Quarterman, PG,http://www.spotrac.com/redirect/player/20910/,HOU,Mar 30 2018,Signed a multi-year contract with Houston (HOU)				
Brandan Wright, PF,http://www.spotrac.com/redirect/player/2325/,HOU,Mar 23 2018,Waived by Houston (HOU)				
Le'Bryan Nash, SF,http://www.spotrac.com/redirect/player/25049/,HOU,Mar 23 2018,Signed a 10-day contract with Houston (HOU)				
Gerald Green, SG,http://www.spotrac.com/redirect/player/6100/,HOU,Mar 20 2018,Fined $25000 for fighting during HOU-MIN game				
Gerald Green, SG,http://www.spotrac.com/redirect/player/6100/,HOU,Mar 18 2018,Fined $2000 for ejection from HOU-MIN game				
Troy Williams, SF,http://www.spotrac.com/redirect/player/20919/,HOU,Feb 14 2018,Waived by Houston (HOU)				
Joe Johnson, SG,http://www.spotrac.com/redirect/player/2200/,HOU,Feb 14 2018,Signed a 1 year $749k contract with Houston (HOU)				
Bobby Brown, PG,http://www.spotrac.com/redirect/player/6131/,HOU,Feb 12 2018,Waived by Houston (HOU)				
Brandan Wright, PF,http://www.spotrac.com/redirect/player/2325/,HOU,Feb 12 2018,Signed a 1 year $706k contract with Houston (HOU)				
Bobby Brown, PG,http://www.spotrac.com/redirect/player/6131/,HOU,Feb 9 2018,Signed a contract with Houston (HOU)				
Gerald Green, SG,http://www.spotrac.com/redirect/player/6100/,HOU,Jan 17 2018,Suspended 2 games (forfeit $19054) for “aggressively entering” the Clippers locker room				
Trevor Ariza, SF,http://www.spotrac.com/redirect/player/2513/,HOU,Jan 17 2018,Suspended 2 games (forfeit $102357) for “aggressively entering” the Clippers locker room				
Briante Weber, SG,http://www.spotrac.com/redirect/player/18287/,HOU,Jan 15 2018,Waived by Houston (HOU)				
Demetrius Jackson, PG,http://www.spotrac.com/redirect/player/20251/,HOU,Jan 5 2018,Signed a 10-day contract with Houston (HOU)				
Bobby Brown, PG,http://www.spotrac.com/redirect/player/6131/,HOU,Jan 5 2018,Waived by Houston (HOU)				
David Lee, PF,http://www.spotrac.com/redirect/player/2623/,SAS,Nov 19 2017,Retired from Professional Basketball				
LaMarcus Aldridge, PF,http://www.spotrac.com/redirect/player/2672/,SAS,Oct 16 2017,Signed a 2 year $50 million contract extension with San Antonio (SAS) - in addition to exercising $22.3 million 2018-19 Player Option				
Dejounte Murray, PG,http://www.spotrac.com/redirect/player/20234/,SAS,Oct 15 2017,San Antonio (SAS) exercised $1.55 million option for 2018-19				
Amida Brimah, C,http://www.spotrac.com/redirect/player/24503/,SAS,Oct 12 2017,Waived by San Antonio (SAS)				
London Perrantes, G,http://www.spotrac.com/redirect/player/24416/,SAS,Oct 12 2017,Waived by San Antonio (SAS)				
Amida Brimah, C,http://www.spotrac.com/redirect/player/24503/,SAS,Sep 25 2017,Signed a contract with San Antonio (SAS)				
Joel Anthony, C,http://www.spotrac.com/redirect/player/2543/,SAS,Sep 24 2017,Signed a contract with San Antonio (SAS)				
London Perrantes, G,http://www.spotrac.com/redirect/player/24416/,SAS,Aug 23 2017,Signed a 1 year contract with San Antonio (SAS)				
Patrick Mills, PG,http://www.spotrac.com/redirect/player/6322/,SAS,Aug 4 2017,Signed a 4 year $49.7 million contract with San Antonio (SAS)				
Matt Costello, C,http://www.spotrac.com/redirect/player/20285/,SAS,Jul 24 2017,Signed a two-way contract with San Antonio (SAS)				
Pau Gasol, PF,http://www.spotrac.com/redirect/player/2518/,SAS,Jul 21 2017,Signed a 3 year $48.8 million contract with San Antonio (SAS)				
